station,city,state,latitude,longitude,last_update,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2
"Mariam Nagar, Purnia - BSPCB",Purnia,Bihar,25.366336,87.117468,2026-07-03 21:00:00,57.0,2.0,6.0,27.0,49.0,62.0,17.0
"Mayaganj, Bhagalpur - BSPCB",Bhagalpur,Bihar,25.265194,87.012947,2026-07-03 21:00:00,9.0,1.0,8.0,17.0,49.0,,10.0
"Mirchaibari, Katihar - BSPCB",Katihar,Bihar,25.560083,87.553265,2026-07-03 21:00:00,101.0,1.0,2.0,18.0,8.0,8.0,25.0
"Mundka, Delhi - DPCC",Delhi,Delhi,28.684678,77.076574,2026-07-03 21:00:00,55.0,10.0,90.0,17.0,,72.0,7.0
"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",Muzaffarpur,Bihar,26.1209,85.3647,2026-07-03 21:00:00,42.0,,19.0,55.0,,62.0,6.0
"NSIT Dwarka, Delhi - CPCB",Delhi,Delhi,28.60909,77.0325413,2026-07-03 21:00:00,61.0,4.0,46.0,25.0,71.0,98.0,15.0
"NSUT Jaffarpur, Delhi - DPCC",Delhi,Delhi,28.594004,76.909423,2026-07-03 21:00:00,37.0,3.0,22.0,75.0,85.0,94.0,3.0
"Naharlagun, Naharlagun - APSPCB",Naharlagun,Arunachal Pradesh,27.103358,93.679645,2026-07-03 21:00:00,8.0,,,7.0,,,
"Najafgarh, Delhi - DPCC",Delhi,Delhi,28.570173,76.933762,2026-07-03 21:00:00,17.0,7.0,30.0,16.0,72.0,90.0,10.0
"Narela, Delhi - DPCC",Delhi,Delhi,28.822836,77.101981,2026-07-03 21:00:00,47.0,10.0,,10.0,115.0,71.0,11.0
"Nawapara SECL Colony, Chhal - CECB",Chhal,Chhattisgarh,22.118125,83.140608,2026-07-03 21:00:00,20.0,,,30.0,,,
"Nehru Nagar, Delhi - DPCC",Delhi,Delhi,28.56789,77.250515,2026-07-03 21:00:00,37.0,11.0,40.0,23.0,111.0,72.0,17.0
"New DM Office, Arrah - BSPCB",Arrah,Bihar,25.5626095,84.663264,2026-07-03 21:00:00,55.0,2.0,7.0,9.0,53.0,49.0,5.0
"North Campus, DU, Delhi - IITM",Delhi,Delhi,28.6573814,77.1585447,2026-07-03 21:00:00,53.0,,33.0,53.0,92.0,72.0,
"OP Jindal Industrial Park, Tumidih - CECB",Tumidih,Chhattisgarh,22.06631475,83.33820077,2026-07-03 21:00:00,27.0,2.0,34.0,27.0,,,5.0
"OP Jindal School, Kunjemura - CECB",Kunjemura,Chhattisgarh,22.12665,83.483212,2026-07-03 21:00:00,31.0,2.0,15.0,10.0,23.0,9.0,14.0
"Okhla Phase-2, Delhi - DPCC",Delhi,Delhi,28.530785,77.271255,2026-07-03 21:00:00,35.0,7.0,20.0,29.0,93.0,70.0,9.0
"Pan Bazaar, Guwahati - PCBA",Guwahati,Assam,26.1875,91.744194,2026-07-03 21:00:00,30.0,1.0,0.0,15.0,,,32.0
"Patparganj, Delhi - DPCC",Delhi,Delhi,28.623763,77.287209,2026-07-03 21:00:00,46.0,7.0,16.0,52.0,99.0,71.0,5.0
"Police Line, Saharsa - BSPCB",Saharsa,Bihar,25.892357,86.590325,2026-07-03 21:00:00,42.0,,,26.0,,,
"Punjabi Bagh, Delhi - DPCC",Delhi,Delhi,28.674045,77.131023,2026-07-03 21:00:00,37.0,4.0,26.0,48.0,112.0,79.0,42.0
"Pusa, Delhi - DPCC",Delhi,Delhi,28.639652,77.146275,2026-07-03 21:00:00,83.0,10.0,52.0,35.0,101.0,74.0,9.0
"Pusa, Delhi - IITM",Delhi,Delhi,28.63611,77.173332,2026-07-03 21:00:00,37.0,,19.0,178.0,84.0,59.0,
"R K Puram, Delhi - DPCC",Delhi,Delhi,28.563262,77.186937,2026-07-03 21:00:00,31.0,6.0,33.0,26.0,97.0,123.0,33.0
"Raikhad, Ahmedabad - IITM",Ahmedabad,Gujarat,23.020509,72.579261,2026-07-03 21:00:00,,1.0,5.0,1.0,73.0,42.0,
"Railway Colony, Guwahati - PCBA",Guwahati,Assam,26.181742,91.78063,2026-07-03 21:00:00,14.0,1.0,3.0,28.0,39.0,49.0,44.0
"Rajbansi Nagar, Patna - BSPCB",Patna,Bihar,25.599486,85.113666,2026-07-03 21:00:00,37.0,3.0,31.0,32.0,33.0,24.0,8.0
"Rajendra Nagar North, Guntur - APPCB",Guntur,Andhra Pradesh,16.316553,80.413302,2026-07-03 21:00:00,42.0,6.0,30.0,55.0,67.0,65.0,14.0
"Rajiv Gandhi Park, Vijayawada - APPCB",Vijayawada,Andhra Pradesh,16.509717,80.612222,2026-07-03 21:00:00,36.0,4.0,25.0,39.0,78.0,75.0,13.0
